1670007164.379024,0
1670007164.482610,20
1670007164.586329,18
1670007164.690969,15
1670007164.795667,9
1670007164.900275,10
1670007165.004973,12
1670007165.108725,13
1670007165.216032,13
1670007165.320269,13
1670007165.428054,20
1670007165.532757,19
1670007165.637892,19
1670007165.742439,7
1670007165.847808,9
1670007165.952275,10
1670007166.056332,6
1670007166.159851,20
1670007166.264591,17
1670007166.369191,3
1670007166.473794,19
1670007166.578151,1
1670007166.683206,3
1670007166.787565,4
1670007166.891183,6
1670007166.995897,7
1670007167.100428,7
1670007167.204327,8
1670007167.308777,9
1670007167.413173,10
1670007167.517143,12
1670007167.622248,13
1670007167.725734,13
1670007167.829383,14
1670007167.933717,15
1670007168.038254,15
1670007168.143576,15
1670007168.251500,17
1670007168.355647,16
1670007168.459257,17
1670007168.562721,18
1670007168.666396,19
1670007168.770133,19
1670007168.874852,19
1670007168.978608,19
1670007169.082622,19
1670007169.186661,11
1670007169.292028,10
1670007169.395875,12
1670007169.501262,12
1670007169.605221,12
1670007169.709537,13
1670007169.814122,15
1670007169.918392,15
1670007170.022438,16
1670007170.127116,17
1670007170.231110,17
1670007170.335841,18
1670007170.440733,17
1670007170.545324,18
1670007170.650380,19
1670007170.755328,20
1670007170.862117,19
1670007170.967142,20
1670007171.070910,11
1670007171.176930,10
1670007171.286188,12
1670007171.390337,13
1670007171.494776,14
1670007171.599252,14
1670007171.703497,15
1670007171.807399,16
1670007171.912808,17
1670007172.016305,20
1670007172.120346,7
1670007172.223701,10
1670007172.326959,10
1670007172.430638,18
1670007172.534393,20
1670007172.638007,14
1670007172.741719,5
1670007172.845463,5
1670007172.950139,8
1670007173.053595,19
1670007173.157762,19
1670007173.261268,15
1670007173.365265,6
1670007173.468725,7
1670007173.572842,7
1670007173.677066,8
1670007173.780482,10
1670007173.884090,10
1670007173.989231,12
1670007174.093977,13
1670007174.197425,13
1670007174.301800,14
1670007174.406039,15
1670007174.510036,15
1670007174.614015,16
1670007174.717714,16
